Summary
Name,"JAA_CAL348.rslt"
Start time,2023 Jun 06 - 12:10
End time,2023 Jun 13 - 12:50
Operator,"JAA"
Results file path,"C:\Users\ge65ley\Desktop\Calorimetry_Results\AXD\Results_files\JAA_CAL348.rslt"
General Experiment Info
Bath temperature,20°C
,Sample - 25336:4
Total mass,6g
Name,"JAA_CAL348"
,Component - OPC
Mass,4g
Name,"OPC"
ID,"Karlstadt CEM I 52.5N 12.10.21"

"Time","Temperature [AmbientT(Therm3T)]","Temperature [Temperature]","Heat flow [Signal]","Heat [Signal]","Normalized heat flow [Signal]","Normalized heat [Signal]","Time markers"
-3190.030289173126,25.782275891034192,20.00000904048283,-1.2548286961775364E-07,NaN,-3.137071740443841E-08,NaN,""
-3188.1011328697205,25.782612923917302,20.000009362298815,-5.6949581912280695E-08,NaN,-1.4237395478070174E-08,NaN,""
-3186.4761328697205,25.78163252718088,20.000009633376372,-1.0895259722946815E-08,NaN,-2.7238149307367038E-09,NaN,""
-3138.113296985626,25.752454209356305,20.000017701117518,-1.4901738750436195E-07,NaN,-3.725434687609049E-08,NaN,""
-3096.588882923126,25.727401655492454,20.00002462809394,3.069390919247167E-08,NaN,7.673477298117918E-09,NaN,""
-3065.4429297447205,25.708610645739284,20.000029823767093,-1.1772454935960253E-07,NaN,-2.943113733990063E-08,NaN,""
-3039.2402930259705,25.696373147979667,20.000025292463363,-1.301601727356345E-07,NaN,-3.2540043183908623E-08,NaN,""
-3016.444351673126,25.696731726215415,20.000021350290087,2.7966318214443606E-07,NaN,6.991579553610902E-08,NaN,""
-2967.846695423126,25.697496163251373,20.00001294614574,1.7850961964807885E-07,NaN,4.4627404912019713E-08,NaN,""
-2938.217789173126,25.697962223448926,20.000007822326523,-1.4514317489562541E-07,NaN,-3.6285793723906354E-08,NaN,""
-2914.542007923126,25.698334641492085,20.000003727999793,5.74555179289304E-08,NaN,1.43638794822326E-08,NaN,""
-2904.7095313072205,25.698489305520358,20.000002027638928,-1.0398197051579381E-08,NaN,-2.5995492628948453E-09,NaN,""
-2893.3306250572205,25.698668294756413,19.999854622249284,-8.892379051482058E-08,NaN,-2.2230947628705145E-08,NaN,""
-2870.702164173126,25.67584646585596,19.999561487125366,-2.45082324651899E-07,NaN,-6.127058116297475E-08,NaN,""
-2856.0230078697205,25.66104187109032,19.99937132941539,9.234043433251348E-08,NaN,2.308510858312837E-08,NaN,""
-2844.8433203697205,25.649766649298062,19.999413664649314,2.4154140838917787E-07,NaN,6.038535209729447E-08,NaN,""
-2824.6519141197205,25.668674980963317,19.999490125454397,8.379058294097147E-08,NaN,2.094764573524287E-08,NaN,""
-2804.4605078697205,25.734766917045675,19.999566586259476,-7.742167981587787E-08,NaN,-1.935541995396947E-08,NaN,""
-2779.0327734947205,25.817998771936,19.99966287598877,-3.0123412685351147E-07,NaN,-7.530853171337787E-08,NaN,""
-2756.6397070884705,25.741533083870436,19.99974767403921,-4.5548936110120357E-07,NaN,-1.1387234027530089E-07,NaN,""
-2728.7803320884705,25.64640157129398,19.999838933949388,-5.180223150938514E-07,NaN,-1.2950557877346284E-07,NaN,""
-2700.9209570884705,25.693064899487283,19.999740295433835,-5.352919011684591E-07,NaN,-1.3382297529211478E-07,NaN,""
-2685.272476673126,25.73871751124202,19.99968489064178,-3.091362248442495E-07,NaN,-7.728405621106237E-08,NaN,""
-2677.9710059165955,25.760018698375795,19.999659039155997,-3.334733240756437E-07,NaN,-8.336833101891093E-08,NaN,""
-2670.7952246665955,25.762766050002824,19.99963363268473,-3.5534568377120484E-07,NaN,-8.883642094280121E-08,NaN,""
-2651.997086048126,25.769963189229806,19.999567076256657,-1.1203399610126292E-07,NaN,-2.800849902531573E-08,NaN,""
-2631.5852637290955,25.777778150598486,19.99949480644252,1.3055726670161016E-07,NaN,3.263931667540254E-08,NaN,""
-2616.3879981040955,25.783596643524433,19.99958542026135,2.4988586773045703E-07,NaN,6.247146693261426E-08,NaN,""
-2588.045914173126,25.794447820237934,19.999754410165323,2.536127344733051E-07,NaN,6.340318361832627E-08,NaN,""
-2578.092789173126,25.798258518085337,19.999813755753394,7.571570656635675E-09,NaN,1.892892664158919E-09,NaN,""
-2560.944351673126,25.80482404538129,19.999916003450263,2.3219436293022094E-07,NaN,5.8048590732555234E-08,NaN,""
-2559.2691016197205,25.805465439091545,19.999925992142217,2.1365676802122672E-07,NaN,5.341419200530668E-08,NaN,""
-2537.0938086509705,25.744371721744074,19.999995743070798,-3.1725464444453186E-08,NaN,-7.931366111113297E-09,NaN,""
-2514.9185156822205,25.683278004396605,19.999880110433434,-2.5099695697686746E-07,NaN,-6.274923924421687E-08,NaN,""
-2491.284116268158,25.723059298868975,19.999756869313657,-1.441551550856383E-07,NaN,-3.6038788771409576E-08,NaN,""
-2486.530289173126,25.734032994174974,19.999732080573985,-1.2266497698488516E-07,NaN,-3.066624424622129E-08,NaN,""
-2454.8951573371887,25.807059271907164,19.999665056313486,NaN,NaN,NaN,NaN,""
-2423.260025501251,25.703228725463852,19.999839958414388,NaN,NaN,NaN,NaN,""
-2408.934830188751,25.68995054543522,19.999919158550775,NaN,NaN,NaN,NaN,""
-2371.4159092903137,25.694878864616474,20.000015561111297,NaN,NaN,NaN,NaN,""
-2329.593246936798,25.708581909112876,19.999982311399016,NaN,NaN,NaN,NaN,""
-2280.7903418540955,25.773556732450565,19.99994351227765,NaN,NaN,NaN,NaN,""
-2255.199643611908,25.747273772786276,19.999914360270687,NaN,NaN,NaN,NaN,""
-2229.6089453697205,25.720990813121986,19.999848406542565,NaN,NaN,NaN,NaN,""
-2211.7300391197205,25.88165272550188,19.99980232806081,NaN,NaN,NaN,NaN,""
-2186.3413672447205,25.73134787315513,19.99973689500594,NaN,NaN,NaN,NaN,""
-2147.3052344322205,25.726617947961838,19.999929694045605,NaN,NaN,NaN,NaN,""
-2118.2473731040955,25.72309706870314,20.00005894393295,NaN,NaN,NaN,NaN,""
-2028.0977149009705,25.7121738263433,19.9999379656024,NaN,NaN,NaN,NaN,""
-1941.6289343833923,25.70639844313239,19.999843423800307,NaN,NaN,NaN,NaN,""
-1850.9876074790955,25.700344369113026,19.99992936760009,NaN,NaN,NaN,NaN,""
-1791.968198299408,25.741516994743865,20.000088055035448,NaN,NaN,NaN,NaN,""
-1770.2026953697205,25.756700862495954,20.000502011793976,NaN,NaN,NaN,NaN,""
-1740.1851172447205,25.777641473790833,19.99978518558973,NaN,NaN,NaN,NaN,""
-1732.9487891197205,25.782689620374704,19.999807746372948,NaN,NaN,NaN,NaN,""
-1707.3120703697205,25.70409757134999,19.999887674265125,NaN,NaN,NaN,NaN,""
-1676.1753516197205,25.76836743373639,19.999984749570398,NaN,NaN,NaN,NaN,""
-1641.3901953697205,25.72419821855872,19.999896398237325,NaN,NaN,NaN,NaN,""
-1612.3486914634705,25.687322131934316,19.99979383734318,NaN,NaN,NaN,NaN,""
-1588.4478125572205,25.703309174299513,20.000029087417207,NaN,NaN,NaN,NaN,""
-1564.7300391197205,25.751577432011384,20.000262535232196,NaN,NaN,NaN,NaN,""
-1544.0640845298767,25.7286677259465,20.000057779573922,NaN,NaN,NaN,NaN,""
-1515.4536719322205,25.678017948702053,19.99977431123282,NaN,NaN,NaN,NaN,""
-1487.8792090415955,25.68386153854054,19.999787986576955,NaN,NaN,NaN,NaN,""
-1434.6792578697205,25.75026410314129,19.999814370686156,NaN,NaN,NaN,NaN,""
-1382.0562109947205,25.730028666198354,19.999812464037127,NaN,NaN,NaN,NaN,""
-1329.4331641197205,25.709793229255418,19.999778746858148,NaN,NaN,NaN,NaN,""
-1280.9028906822205,25.754693768143497,19.99974765204299,NaN,NaN,NaN,NaN,""
-1256.6602149009705,25.7492740018518,19.99994432159223,NaN,NaN,NaN,NaN,""
-1232.4175391197205,25.64460654683531,20.00014099114147,NaN,NaN,NaN,NaN,""
-1216.2573828697205,25.663885013112647,19.999995614642174,NaN,NaN,NaN,NaN,""
-1196.8823828697205,25.709042881456845,19.99982131746148,NaN,NaN,NaN,NaN,""
-1171.3975195884705,25.697360660918,19.999691667328683,NaN,NaN,NaN,NaN,""
-1122.9331641197205,25.675144677939763,19.999736026628916,NaN,NaN,NaN,NaN,""
-1037.1531348228455,25.72870760358955,19.999814540869675,NaN,NaN,NaN,NaN,""
-936.506543636322,25.791553535501876,19.999950529962966,NaN,NaN,NaN,NaN,""
-869.7139258384705,25.75736537082016,20.000040777108204,NaN,NaN,NaN,NaN,""
-833.343213558197,25.808271386051402,20.000089919559297,NaN,NaN,NaN,NaN,""
-799.480176448822,25.833996673690336,19.999999513859613,NaN,NaN,NaN,NaN,""
-772.7300391197205,25.64026744630855,19.999928097793948,NaN,NaN,NaN,NaN,""
-741.8682227134705,25.7783324212454,19.999845704590506,NaN,NaN,NaN,NaN,""
-679.2300391197205,25.774245668511142,19.999678476565553,NaN,NaN,NaN,NaN,""
-631.627866268158,25.771139922161293,19.99999319246055,NaN,NaN,NaN,NaN,""
-600.291684627533,25.751873377961388,20.000043357157107,NaN,NaN,NaN,NaN,""
-536.2300391197205,25.712486111865932,19.999848525490872,NaN,NaN,NaN,NaN,""
-514.0186133384705,25.729077669702164,20.000247232013002,NaN,NaN,NaN,NaN,""
-491.80718755722046,25.749171982283848,20.000645938535133,NaN,NaN,NaN,NaN,""
-468.96026372909546,25.769841219524785,20.000849341741862,NaN,NaN,NaN,NaN,""
-446.35064458847046,25.69016118673574,20.001050632255662,NaN,NaN,NaN,NaN,""
-432.53875494003296,25.706662544384383,20.00077682086208,NaN,NaN,NaN,NaN,""
-413.60503911972046,25.78020476596919,20.000401472720263,NaN,NaN,NaN,NaN,""
-397.02056646347046,25.788430693902196,20.000547797468798,NaN,NaN,NaN,NaN,""
-370.46929693222046,25.75771723840264,20.000782059233877,NaN,NaN,NaN,NaN,""
-338.85052251815796,25.729268455767127,20.000713966938434,NaN,NaN,NaN,NaN,""
-290.26421880722046,25.738012153345124,20.000609334389956,NaN,NaN,NaN,NaN,""
-245.54827642440796,25.73062001271879,20.00037754099198,NaN,NaN,NaN,NaN,""
-194.46050786972046,25.660540117639822,20.00011271804881,NaN,NaN,NaN,NaN,""
-180.76128911972046,25.648923067167033,20.00033784203227,NaN,NaN,NaN,NaN,""
-167.06207036972046,25.668026342204655,20.00056296601573,NaN,NaN,NaN,NaN,""
-136.90630865097046,25.710077923436778,19.999871153499274,NaN,NaN,NaN,NaN,""
-119.87994146347046,25.711581877512195,19.999913859656022,NaN,NaN,NaN,NaN,""
-88.01128911972046,25.71439686376514,20.000234521613272,NaN,NaN,NaN,NaN,""
-47.05816411972046,25.718014289524053,19.999831819243173,NaN,NaN,NaN,NaN,""
-38.82769536972046,25.71874129410952,19.999850836222546,NaN,NaN,NaN,NaN,""
-17.23003911972046,25.835880267312763,19.99990073887036,NaN,NaN,NaN,NaN,""
-5.792539119720459,25.584579096780256,19.99992716588298,NaN,NaN,NaN,NaN,""
20.60394525527954,25.644008535714796,19.999988156503818,NaN,NaN,NaN,NaN,""
43.23236322402954,25.81718645301737,19.999965261652832,NaN,NaN,NaN,NaN,""
65.86078119277954,25.99036437031995,19.999871164413744,NaN,NaN,NaN,NaN,""
90.19085931777954,25.84558194479822,19.99976999104928,NaN,NaN,NaN,NaN,""
110.48041009902954,25.767002147001584,19.99999768916745,NaN,NaN,NaN,NaN,""
140.78949213027954,25.902881787494145,20.00033783080077,NaN,NaN,NaN,NaN,""
166.89215326309204,25.85377196476111,20.000184981166367,NaN,NaN,NaN,NaN,""
200.30536127090454,25.790908001816625,19.999951895128287,NaN,NaN,NaN,NaN,""
236.22967767715454,25.72040476731714,20.00008312345713,NaN,NaN,NaN,NaN,""
264.60541009902954,25.66351241099575,20.000186777480863,NaN,NaN,NaN,NaN,""
295.50726556777954,26.032976003504665,20.00029965920714,NaN,NaN,NaN,NaN,""
308.37933588027954,25.945566746839642,20.00034667973376,NaN,NaN,NaN,NaN,""
326.17230463027954,25.824741569961056,19.999800096349208,NaN,NaN,NaN,NaN,""
348.92865228652954,25.745770931758933,19.999844140445894,NaN,NaN,NaN,NaN,""
377.95843744277954,25.825988835697085,19.999900326556407,NaN,NaN,NaN,NaN,""
450.01227045059204,25.790517224461226,20.000039784172166,NaN,NaN,NaN,NaN,""
504.50189447402954,25.766020016704758,19.999959749730973,NaN,NaN,NaN,NaN,""
598.7380394935608,25.732116668279204,19.99982133554034,NaN,NaN,NaN,NaN,""
662.8477501869202,25.770414987976856,19.999797812997812,NaN,NaN,NaN,NaN,""
726.9574608802795,25.80871330767451,19.999996395517215,NaN,NaN,NaN,NaN,""
745.0355858802795,25.66276461257329,20.0000523932681,NaN,NaN,NaN,NaN,""
772.1137108802795,25.7533515926993,20.000102609017887,NaN,NaN,NaN,NaN,""
799.1918358802795,25.84393857282531,19.999802717738824,NaN,NaN,NaN,NaN,""
824.7470116615295,25.844770946353883,19.999566792778058,NaN,NaN,NaN,NaN,""
864.486879825592,25.846065338322532,19.999606855929223,NaN,NaN,NaN,NaN,""
912.0856347084045,25.82060583155892,19.999654841898995,NaN,NaN,NaN,NaN,""
1009.8402733802795,25.768319067113765,20.000093869308852,NaN,NaN,NaN,NaN,""
1048.3148827552795,25.754485483121172,19.99971361439136,NaN,NaN,NaN,NaN,""
1086.7894921302795,25.76434998005665,19.999333359473873,NaN,NaN,NaN,NaN,""
1115.1430077552795,25.7716195319127,19.99975304298298,NaN,NaN,NaN,NaN,""
1121.5043358802795,25.77325051148115,19.999768858150706,NaN,NaN,NaN,NaN,""
1138.6137108802795,25.93458633697348,19.99981139449374,NaN,NaN,NaN,NaN,""
1147.2074608802795,25.649588543708514,19.999832759780194,NaN,NaN,NaN,NaN,""
1177.1293358802795,25.850982235210843,19.999907149823038,NaN,NaN,NaN,NaN,""
1197.5980858802795,26.149847969411205,19.999958038050778,NaN,NaN,NaN,NaN,""
1208.7855858802795,25.90865623537895,19.999985851769143,NaN,NaN,NaN,NaN,""
1249.9249901771545,25.905209400221093,20.000040182225316,NaN,NaN,NaN,NaN,""
1291.0643944740295,25.901762565063237,19.99981102521106,NaN,NaN,NaN,NaN,""
1315.2699608802795,26.06156149667205,19.999676194009176,NaN,NaN,NaN,NaN,""
1348.8930687904358,25.944043474889348,19.999863823141013,NaN,NaN,NaN,NaN,""
1382.516176700592,25.826525453106647,20.00019496561821,NaN,NaN,NaN,NaN,""
