Summary
Name,"JAA_CAL258.rslt"
Start time,2023 Jan 30 - 16:39
End time,2023 Feb 03 - 7:53
Operator,"JAA"
Results file path,"C:\Users\ga42fix\Desktop\AK Gädt\AK Gädt Kalo2\JAA\JAA_CAL258.rslt"
General Experiment Info
Bath temperature,20°C
,Sample - 213:2
Total mass,6g
Name,"JAA_CAL258"
,Component - OPC
Mass,4g
Name,"OPC"
ID,"Bernburg CEM I 42.5R 29.09.21"

"Time","Temperature","Heat flow","Heat","Normalized heat flow","Normalized heat","Time markers"
-2343.00865578651,20,NaN,NaN,NaN,NaN,""
-2342.86682581902,20,-3.2932546743944E-06,NaN,-8.233136685986E-07,NaN,""
-2334.33557581902,20,-3.70503597224234E-06,NaN,-9.26258993060585E-07,NaN,""
-2315.73791956902,20,-2.62221104500876E-06,NaN,-6.5555276125219E-07,NaN,""
-2270.91760706902,20,-1.58518203206521E-06,NaN,-3.96295508016302E-07,NaN,""
-2231.50745081902,20,-2.13952084967725E-07,NaN,-5.34880212419313E-08,NaN,""
-2202.69299769402,20,-1.16836228322324E-06,NaN,-2.92090570805809E-07,NaN,""
-2168.58557581902,20,-1.32077875866584E-06,NaN,-3.3019468966646E-07,NaN,""
-2134.53479456902,20,-3.1231043187558E-06,NaN,-7.80776079688951E-07,NaN,""
-2098.42932581902,20,-2.70978658299637E-06,NaN,-6.77446645749092E-07,NaN,""
-2041.52307581902,20,-2.54825945319394E-06,NaN,-6.37064863298486E-07,NaN,""
-2029.65588831902,20,-1.97133623208849E-06,NaN,-4.92834058022122E-07,NaN,""
-2002.32922816277,20,-8.1258860158303E-07,NaN,-2.03147150395758E-07,NaN,""
-1950.45276331902,20,-1.09314677282072E-06,NaN,-2.7328669320518E-07,NaN,""
-1930.15393519402,20,-1.39808314946818E-06,NaN,-3.49520787367045E-07,NaN,""
-1874.78186488152,20,-4.61119397356933E-07,NaN,-1.15279849339233E-07,NaN,""
-1831.81848597527,20,-5.07367759052614E-07,NaN,-1.26841939763153E-07,NaN,""
-1773.88245081902,20,-1.61490671877253E-06,NaN,-4.03726679693133E-07,NaN,""
-1760.43713831902,20,-1.17896148590417E-06,NaN,-2.94740371476042E-07,NaN,""
-1731.68518519402,20,-1.46787733331379E-06,NaN,-3.66969333328448E-07,NaN,""
-1669.69470667839,20,-7.95952151547173E-07,NaN,-1.98988037886793E-07,NaN,""
-1606.36682581902,20,-1.9126320458314E-07,NaN,-4.7815801145785E-08,NaN,""
-1585.77698206902,20,-9.9224378596202E-07,NaN,-2.48060946490505E-07,NaN,""
-1559.02307581902,20,-1.57702331845169E-06,NaN,-3.94255829612922E-07,NaN,""
-1545.27307581902,20,-1.16422373277122E-06,NaN,-2.91055933192806E-07,NaN,""
-1529.58557581902,20,-1.78417473160232E-06,NaN,-4.4604368290058E-07,NaN,""
-1502.02795863152,20,-1.76096129989432E-06,NaN,-4.4024032497358E-07,NaN,""
-1469.70081019402,20,-2.1867992350099E-06,NaN,-5.46699808752475E-07,NaN,""
-1430.83752894402,20,-1.01691179244983E-06,NaN,-2.54227948112457E-07,NaN,""
-1402.45862269402,20,-1.35250878126926E-06,NaN,-3.38127195317315E-07,NaN,""
-1364.39319300652,20,-1.13746735468167E-06,NaN,-2.84366838670418E-07,NaN,""
-1340.69104456902,20,-1.98502271975695E-06,NaN,-4.96255679939237E-07,NaN,""
-1303.79773402214,20,-1.24280592211212E-06,NaN,-3.10701480528029E-07,NaN,""
-1283.16370081902,20,-1.86131399571259E-06,NaN,-4.65328498928148E-07,NaN,""
-1254.26819300652,20,-1.22855827901437E-06,NaN,-3.07139569753593E-07,NaN,""
-1233.42932581902,20,-2.61472004128699E-07,NaN,-6.53680010321747E-08,NaN,""
-1215.93713831902,20,-1.0965899807578E-07,NaN,-2.74147495189449E-08,NaN,""
-1195.50745081902,20,1.08267262951938E-06,NaN,2.70668157379845E-07,NaN,""
-1171.54651331902,20,7.87695879365064E-07,NaN,1.96923969841266E-07,NaN,""
-1143.35901331902,20,-3.61048492444545E-07,NaN,-9.02621231111361E-08,NaN,""
-1106.58203577995,20,-3.56387848887336E-07,NaN,-8.9096962221834E-08,NaN,""
-982.882206678391,20,1.82016711001067E-06,NaN,4.55041777502667E-07,NaN,""
-959.366825819016,20,2.58251470715308E-06,NaN,6.45628676788269E-07,NaN,""
-925.132450819016,20,2.46082049654422E-06,NaN,6.15205124136054E-07,NaN,""
-874.359013319016,20,3.16562781218577E-06,NaN,7.91406953046443E-07,NaN,""
-856.913700819016,20,4.04578258838491E-06,NaN,1.01144564709623E-06,NaN,""
-837.816044569016,20,3.833109299255E-06,NaN,9.5827732481375E-07,NaN,""
-811.804325819016,20,4.20524307171235E-06,NaN,1.05131076792809E-06,NaN,""
