Summary
Name,"JAA_CAL259.rslt"
Start time,2023 Jan 30 - 16:39
End time,2023 Feb 03 - 7:54
Operator,"JAA"
Results file path,"C:\Users\ga42fix\Desktop\AK Gädt\AK Gädt Kalo2\JAA\JAA_CAL259.rslt"
General Experiment Info
Bath temperature,20°C
,Sample - 213:3
Total mass,6g
Name,"JAA_CAL259"
,Component - OPC
Mass,4g
Name,"OPC"
ID,"Bernburg CEM I 42.5R 29.09.21"

"Time","Temperature","Heat flow","Heat","Normalized heat flow","Normalized heat","Time markers"
-2328.63407325745,20,NaN,NaN,NaN,NaN,""
-2328.11756324768,20,-3.83196598074806E-06,NaN,-9.57991495187015E-07,NaN,""
-2269.61609840393,20,-2.10181462798424E-06,NaN,-5.25453656996059E-07,NaN,""
-2222.11756324768,20,-1.23475219191452E-06,NaN,-3.08688047978631E-07,NaN,""
-2212.82068824768,20,-1.76819208953179E-06,NaN,-4.42048022382947E-07,NaN,""
-2182.06092262268,20,-1.39809046442103E-06,NaN,-3.49522616105258E-07,NaN,""
-2154.30018043518,20,-2.31045352546337E-06,NaN,-5.77613381365844E-07,NaN,""
-2131.61756324768,20,-3.11460329022295E-06,NaN,-7.78650822555736E-07,NaN,""
-2106.85047340393,20,-2.50426340725159E-06,NaN,-6.26065851812898E-07,NaN,""
-2078.84412574768,20,-3.10170343126681E-06,NaN,-7.75425857816702E-07,NaN,""
-2032.36609840393,20,-1.82763240664973E-06,NaN,-4.56908101662433E-07,NaN,""
-2018.52381324768,20,-9.45811248048109E-07,NaN,-2.36452812012027E-07,NaN,""
-1957.78211402893,20,-6.34815658963709E-07,NaN,-1.58703914740927E-07,NaN,""
-1902.77381324768,20,-8.83571426413636E-07,NaN,-2.20892856603409E-07,NaN,""
-1874.75232887268,20,-3.72876750850445E-08,NaN,-9.32191877126114E-09,NaN,""
-1809.95032691956,20,-6.28078385716145E-07,NaN,-1.57019596429036E-07,NaN,""
-1776.59803199768,20,-1.48478112405027E-06,NaN,-3.71195281012568E-07,NaN,""
-1750.94178199768,20,-1.06593993248638E-06,NaN,-2.66484983121594E-07,NaN,""
-1709.07166481018,20,-1.34750684837028E-06,NaN,-3.3687671209257E-07,NaN,""
-1665.12146949768,20,-1.28939191179277E-07,NaN,-3.22347977948192E-08,NaN,""
-1637.56678199768,20,-5.40010326759687E-07,NaN,-1.35002581689922E-07,NaN,""
-1619.61756324768,20,-6.97292818695159E-08,NaN,-1.7432320467379E-08,NaN,""
-1589.25330543518,20,-6.22705951580968E-07,NaN,-1.55676487895242E-07,NaN,""
-1563.90662574768,20,-1.52270741341718E-06,NaN,-3.80676853354295E-07,NaN,""
-1544.12146949768,20,-1.27197536979106E-06,NaN,-3.17993842447764E-07,NaN,""
-1529.61756324768,20,-1.86463354992078E-06,NaN,-4.66158387480196E-07,NaN,""
-1496.54432106018,20,-1.73444465733868E-06,NaN,-4.3361116433467E-07,NaN,""
-1464.56482887268,20,-2.63981100266465E-06,NaN,-6.59952750666162E-07,NaN,""
-1433.61756324768,20,-1.5207385098376E-06,NaN,-3.80184627459399E-07,NaN,""
-1386.67225074768,20,-1.67111587046348E-06,NaN,-4.17778967615869E-07,NaN,""
-1342.98670387268,20,-2.08911601360726E-06,NaN,-5.22279003401815E-07,NaN,""
-1314.68396949768,20,-1.48973818855215E-06,NaN,-3.72434547138036E-07,NaN,""
-1291.55311012268,20,-1.65581483572214E-06,NaN,-4.13953708930535E-07,NaN,""
-1243.99256324768,20,-1.28412023223409E-06,NaN,-3.21030058058522E-07,NaN,""
-1233.70350074768,20,-7.72067152717457E-07,NaN,-1.93016788179364E-07,NaN,""
-1218.64100074768,20,-7.55713853286412E-07,NaN,-1.88928463321603E-07,NaN,""
-1201.30506324768,20,9.44588940917113E-08,NaN,2.36147235229278E-08,NaN,""
-1181.85193824768,20,5.61039203534265E-07,NaN,1.40259800883566E-07,NaN,""
-1142.93396949768,20,-7.57947314264218E-07,NaN,-1.89486828566054E-07,NaN,""
-1098.02478981018,20,-3.8768239109292E-07,NaN,-9.692059777323E-08,NaN,""
-1076.06287574768,20,-5.21140947943495E-07,NaN,-1.30285236985874E-07,NaN,""
-1036.75428199768,20,3.4046958107978E-07,NaN,8.5117395269945E-08,NaN,""
-1015.07068824768,20,1.04074522030741E-06,NaN,2.60186305076854E-07,NaN,""
-987.391000747681,20,1.11614518900324E-06,NaN,2.7903629725081E-07,NaN,""
-955.242563247681,20,2.13566481317315E-06,NaN,5.33916203293286E-07,NaN,""
-933.943735122681,20,2.27215507237396E-06,NaN,5.68038768093489E-07,NaN,""
-901.719125747681,20,3.03230200438273E-06,NaN,7.58075501095684E-07,NaN,""
-885.570688247681,20,2.87858287050493E-06,NaN,7.19645717626233E-07,NaN,""
-848.678110122681,20,3.64871761830804E-06,NaN,9.12179404577009E-07,NaN,""
-820.617563247681,20,4.193176521681E-06,NaN,1.04829413042025E-06,NaN,""
-807.703500747681,20,4.9607291110582E-06,NaN,1.24018227776455E-06,NaN,""
-788.168344497681,20,4.64384850848681E-06,NaN,1.1609621271217E-06,NaN,""
-765.176156997681,20,3.80017581051655E-06,NaN,9.50043952629139E-07,NaN,""
-718.207406997681,20,4.38456635671627E-06,NaN,1.09614158917907E-06,NaN,""
-671.664438247681,20,3.74506772287183E-06,NaN,9.36266930717958E-07,NaN,""
-651.346078872681,20,4.57228787339905E-06,NaN,1.14307196834976E-06,NaN,""
-621.062875747681,20,4.03006083048545E-06,NaN,1.00751520762136E-06,NaN,""
-599.049203872681,20,3.07911969271821E-06,NaN,7.69779923179553E-07,NaN,""
-570.789438247681,20,3.2873622861901E-06,NaN,8.21840571547526E-07,NaN,""
-554.027719497681,20,3.03769369541529E-06,NaN,7.59423423853823E-07,NaN,""
-529.117563247681,20,3.61563790714255E-06,NaN,9.03909476785637E-07,NaN,""
1153.72072672844,20,NaN,NaN,NaN,NaN,"Reaction start. Measuring position. Signal correct"
1153.88243675232,20,1.1140449836665E-05,1.80083520342185E-06,2.78511245916626E-06,4.50208800855463E-07,""
1183.15831565857,20,1.26065299320033E-05,0.000349407687251773,3.15163248300082E-06,8.73519218129433E-05,""
1228.10899925232,20,1.62738124433109E-05,0.000998503253347734,4.06845311082774E-06,0.000249625813336933,""
1253.13536643982,20,2.15834469814724E-05,0.00147221809088627,5.39586174536811E-06,0.000368054522721568,""
1296.05089378357,20,3.01543619360514E-05,0.00258239576753912,7.53859048401284E-06,0.000645598941884781,""
1349.57384300232,20,4.28208496493312E-05,0.00453532003949511,1.07052124123328E-05,0.00113383000987378,""
1377.01915550232,20,5.03957484216466E-05,0.00581449937161755,1.25989371054116E-05,0.00145362484290439,""
1409.27501487732,20,6.03188283946854E-05,0.00760009628189267,1.50797070986714E-05,0.00190002407047317,""
1439.24181175232,20,6.82115105820729E-05,0.00952591756208837,1.70528776455182E-05,0.00238147939052209,""
1445.88243675232,20,7.28147321159711E-05,0.00999416875854672,1.82036830289928E-05,0.00249854218963668,""
1446.88243675232,20,0.000354088939655928,0.0102076205944327,8.85222349139821E-05,0.00255190514860817,""
1448.63243675232,20,0.00134517898299381,0.0116944800267512,0.000336294745748453,0.0029236200066878,""
1450.88243675232,20,0.00261944549180192,0.0161546825608964,0.000654861372950479,0.0040386706402241,""
1451.88243675232,20,0.00329367172300263,0.0191112411682987,0.000823417930750657,0.00477781029207467,""
1452.88243675232,20,0.00511351006178593,0.0233148320606929,0.00127837751544648,0.00582870801517323,""
1454.63243675232,20,0.00883768773019681,0.0355221301286778,0.0022094219325492,0.00888053253216946,""
1456.88243675232,20,0.0136259161610108,0.0607936845062864,0.0034064790402527,0.0151984211265716,""
1457.88243675232,20,0.0160380721450149,0.0756256786592993,0.00400951803625373,0.0189064196648248,""
1458.88243675232,20,0.0191492712451039,0.0932193503543587,0.00478731781127598,0.0233048375885897,""
1461.13243675232,20,0.0262212816032487,0.144261222308755,0.00655532040081217,0.0360653055771888,""
1462.88243675232,20,0.0317268175254674,0.194965809046382,0.00793170438136686,0.0487414522615955,""
1463.88243675232,20,0.035178580433786,0.228418508026009,0.00879464510844649,0.0571046270065022,""
1465.63243675232,20,0.0415558228394805,0.295561110890117,0.0103889557098701,0.0738902777225292,""
1467.88243675232,20,0.049755134503945,0.398285937901471,0.0124387836259862,0.0995714844753677,""
1468.88243675232,20,0.0534170470894792,0.449872028698183,0.0133542617723698,0.112468007174546,""
1469.88243675232,20,0.0571858015304912,0.505173453008168,0.0142964503826228,0.126293363252042,""
1472.13243675232,20,0.065705638852724,0.643426323439285,0.016426409713181,0.160856580859821,""
1473.88243675232,20,0.0723321789922384,0.764209414053627,0.0180830447480596,0.191052353513407,""
1474.88243675232,20,0.0760863598711412,0.838418683485317,0.0190215899677853,0.209604670871329,""
1477.75743675232,20,0.0867321256601298,1.07247025643652,0.0216830314150324,0.26811756410913,""
1479.88243675232,20,0.09459019005856,1.26512521688763,0.02364754751464,0.316281304221907,""
1480.88243675232,20,0.098134455658852,1.36148753974633,0.024533613914713,0.340371884936583,""
1482.63243675232,20,0.104229436783431,1.53855594563333,0.0260573591958577,0.384638986408333,""
1484.88243675232,20,0.112065841086461,1.78188813323696,0.0280164602716152,0.44547203330924,""
1485.88243675232,20,0.115491135416903,1.89566662148864,0.0288727838542258,0.47391665537216,""
1486.88243675232,20,0.118701767727034,2.01276307306061,0.0296754419317584,0.503190768265152,""
1489.13243675232,20,0.125879970356324,2.28791752840439,0.031469992589081,0.571979382101097,""
